timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/05 23:49:11.098, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.21 W
2026/08/05 23:49:11.100, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:49:16.102, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.85 W
2026/08/05 23:49:16.104, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:49:16.105, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:49:16.107, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:49:21.108, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 107.66 W
2026/08/05 23:49:21.110, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 56.98 W
2026/08/05 23:49:21.111, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 69.50 W
2026/08/05 23:49:21.112, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 72.36 W
2026/08/05 23:49:26.114, 0, 0 %, 0 %, 0 MiB, 40960 MiB, 54.40 W
2026/08/05 23:49:26.118, 1, 0 %, 0 %, 0 MiB, 40960 MiB, 53.70 W
2026/08/05 23:49:26.123, 2, 0 %, 0 %, 0 MiB, 40960 MiB, 51.16 W
2026/08/05 23:49:26.125, 3, 0 %, 0 %, 0 MiB, 40960 MiB, 53.17 W
2026/08/05 23:49:31.129, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.93 W
2026/08/05 23:49:31.131, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.59 W
2026/08/05 23:49:31.132, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:49:31.133, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:49:36.136, 0, 0 %, 0 %, 38907 MiB, 40960 MiB, 73.93 W
2026/08/05 23:49:36.138, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:49:36.139, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:49:36.141, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
2026/08/05 23:49:41.142, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 73.56 W
2026/08/05 23:49:41.145, 1, 0 %, 0 %, 427 MiB, 40960 MiB, 71.88 W
2026/08/05 23:49:41.146, 2, 0 %, 0 %, 427 MiB, 40960 MiB, 69.50 W
2026/08/05 23:49:41.147, 3, 0 %, 0 %, 427 MiB, 40960 MiB, 72.36 W
