timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/07 17:29:25.743, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:29:30.746, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:29:35.752, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.71 W
2026/08/07 17:29:40.755, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:29:45.769, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:29:50.780, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:29:55.790, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:30:00.805, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.96 W
2026/08/07 17:30:05.820, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:30:10.840, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.55 W
2026/08/07 17:30:15.856, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:30:20.865, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:30:25.874, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:30:30.887, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.96 W
2026/08/07 17:30:35.902, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:30:40.914, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:30:45.928, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:30:50.939, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:30:55.959, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:31:00.971, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:31:05.983, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:31:10.991, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:31:15.998, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.79 W
2026/08/07 17:31:21.010, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:31:26.021, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:31:31.037, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
2026/08/07 17:31:36.049, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.83 W
2026/08/07 17:31:41.063, 0, 0 %, 0 %, 38919 MiB, 40960 MiB, 101.67 W
